団体コード,値
13106,3
13107,3
13108,3
13109,3
13110,3
13111,3
13112,3
13113,3
13114,3
13115,3
13116,3
13117,3
13118,3
13119,3
13120,3
13121,3
13122,3
13123,1
13201,4
13202,2
13203,3
13204,3
13205,2
13206,4
13207,1
13208,3
13209,3
13210,1
13211,3
13212,1
13213,3
13214,3
13215,3
13218,1
13219,1
13220,3
13221,1
13222,0
13223,3
13224,2
13225,1
13227,1
13228,1
13229,3
13303,0
13305,1
13307,3
13308,3
13361,0
13362,0
13363,0
13364,0
13381,0
13382,0
13401,0
13402,0
13421,0
14100,4
14130,3
14150,1
14201,3
14203,2
14204,4
14205,3
14206,4
14207,2
14208,1
14210,3
14211,1
14212,1
14213,1
14214,1
14215,2
14216,1
14217,0
14218,1
14301,0
14321,1
14341,1
14342,1
14361,1
14362,1
14363,1
14364,1
14366,1
14382,3
14383,1
14384,1
14401,0
14402,0
15100,4
15202,2
15204,1
15205,1
15206,3
15208,1
15209,1
15210,0
15211,1
15212,2
15213,0
15216,2
15217,4
15218,0
15222,4
15223,1
15224,4
15225,2
15226,1
15227,1
15307,1
15342,0
15361,1
15385,0
15405,0
15461,3
15482,0
15504,0
15581,2
15586,0
16201,4
16202,1
16204,1
16205,0
16206,1
16207,2
16208,1
16209,1
16210,1
16211,1
16321,1
16322,1
16323,2
16342,1
16343,1
17201,4
17202,1
17203,1
17204,3
17205,0
17206,1
17207,1
17209,1
17210,1
17211,1
17212,1
17324,1
17361,1
17365,1
17384,2
17386,1
17407,0
17461,1
17463,0
18201,4
18202,4
18204,4
18205,4
18206,1
18207,1
18208,1
18209,2
18210,3
18322,1
18382,3
18404,3
18423,3
18442,2
18481,1
18483,2
18501,1
19201,3
19202,0
19204,0
19205,1
19206,3
19207,1
19208,0
19209,4
19210,1
19211,1
19212,1
19213,3
19214,1
19346,1
19364,0
19365,1
19366,1
19368,0
19384,1
19422,0
19423,0
19424,0
19425,0
19429,0
19430,4
19442,0
19443,0
20201,3
20202,4
20203,4
20204,3
20205,1
20206,3
20207,1
20208,1
20209,3
20210,1
20211,3
20212,1
20213,3
20214,3
20215,3
20217,1
20218,1
20219,1
20220,1
20303,0
20304,0
20305,3
20306,0
20307,0
20309,0
20321,4
20323,1
20324,4
20349,0
20350,1
20361,3
20362,3
20363,4
20382,1
20383,1
20384,1
20385,1
20386,1
20388,1
20402,2
20403,1
20404,0
20407,1
20409,0
20410,0
20411,0
20412,0
20413,1
20414,1
20415,0
20416,0
20417,0
20422,1
20423,1
20425,1
20429,0
20430,1
20432,1
20446,0
20448,0
20450,0
20451,0
20452,0
20481,0
20482,1
20485,1
20486,2
20521,1
20541,1
20543,0
20561,3
20562,0
20563,0
20583,0
20588,0
20590,0
20602,0
21201,4
21202,2
21203,2
21204,1
21205,2
21206,2
21207,1
21208,1
21209,2
21210,1
21211,2
21212,2
21213,1
21214,0
21215,0
21216,1
21217,1
21218,0
21219,3
21220,1
21221,1
21302,1
21303,2
21341,2
21361,1
21362,1
21381,1
21382,0
21383,1
21401,2
21403,0
21404,1
21421,0
21501,1
21502,0
21503,1
21504,1
21505,0
21506,1
21507,0
21521,0
21604,4
22100,4
22130,3
22203,4
22205,3
22206,3
22207,1
22208,0
22209,3
22210,4
22211,1
22212,1
22213,4
22214,2
22215,3
22216,3
22219,0
22220,1
22221,1
22222,0
22223,3
22224,3
22225,0
22226,1
22301,0
22302,0
22304,0
22305,0
22306,0
22325,1
22341,1
22342,3
22344,2
22424,1
22429,0
22461,1
23100,4
23201,3
23202,2
23203,1
23204,0
23205,1
23206,1
23207,1
23208,1
23209,0
23210,1
23211,2
23212,2
23213,1
23214,4
23215,3
23216,4
23217,1
23219,1
23220,3
23221,2
23222,1
23223,1
23224,0
23225,1
23226,0
23227,1
23228,1
23229,3
23230,1
23231,0
23232,1
23233,1
23234,0
23235,1
23236,1
23237,1
23238,1
23302,0
23342,0
23361,1
23362,0
23424,0
23425,1
23427,1
23441,1
23442,1
23445,0
23446,2
23447,2
23501,1
23561,0
23562,1
23563,0
24201,1
24202,3
24203,3
24204,2
24205,2
24207,3
24208,1
24209,0
24210,3
24211,4
24212,0
24214,0
24215,4
24216,1
24303,1
24324,1
24341,1
24343,1
24344,1
24441,2
24442,1
24443,0
24461,1
24470,1
24471,0
24472,0
24543,0
24561,0
24562,0
25201,4
25202,3
25203,3
25204,3
25206,3
25207,1
25208,1
25209,2
25210,3
25211,1
25212,3
25213,3
25214,2
25383,1
25384,1
25425,1
25441,3
25442,1
25443,2
26100,5
26201,2
26202,3
26203,1
26204,3
26205,3
26206,3
26207,3
26208,2
26209,1
26210,1
26211,3
26212,1
26213,2
26214,1
26303,1
26322,1
26343,1
26344,0
26364,1
26365,0
26366,3
26367,1
26407,1
26463,1
26465,1
27100,4
27140,3
27202,1
27203,3
27204,2
27205,3
27206,1
27207,3
27208,4
27209,3
27210,3
27211,3
27212,1
27213,3
27214,1
27215,3
27216,2
27217,1
27218,1
27219,1
27220,3
27221,1
27222,1
27223,3
27224,2
27225,1
27226,1
27227,1
27228,0
27229,1
27230,1
27231,1
27232,0
27301,1
27321,1
27322,0
27341,1
27361,1
27362,3
27366,0
27381,0
27382,0
27383,3
28100,3
28201,3
28202,3
28203,1
28204,3
28205,1
28206,1
28207,3
28208,1
28209,0
28210,1
28212,1
28213,0
28214,2
28215,1
28216,1
28217,1
28218,1
28219,1
28220,0
28221,2
28222,0
28223,1
28224,1
28225,0
28226,2
28227,0
28228,0
28229,1
28301,1
28365,0
28381,0
28382,1
28442,0
28443,0
28446,0
28464,1
28481,1
28501,0
28585,0
28586,0
29201,3
29202,0
29203,1
29204,3
29205,1
29206,1
29207,0
29208,3
29209,0
29210,0
29211,0
29212,4
29322,0
29342,3
29343,4
29344,3
29345,1
29361,1
29362,1
29363,1
29385,0
29386,0
29401,0
29402,3
29424,0
29425,2
29426,0
29427,1
29441,0
29442,0
29443,0
29444,0
29446,0
29447,0
29449,0
29450,0
29451,0
29452,0
29453,0
30201,1
30202,1
30203,0
30204,1
30205,1
30206,3
30207,0
30208,0
30209,0
30304,3
30341,0
30343,0
30344,0
30361,1
30362,1
30366,3
30381,0
30382,1
30383,3
30390,1
30391,1
30392,0
30401,0
30404,0
30406,0
30421,0
30422,0
30424,0
30427,0
30428,0
31201,4
31202,4
31203,2
31204,0
31302,0
31325,0
31328,1
31329,1
31364,0
31370,3
31371,1
31372,1
31384,0
31386,1
31389,0
31390,1
31401,1
31402,1
31403,1
32201,2
32202,0
32203,4
32204,3
32205,0
32206,1
32207,0
32209,0
32343,0
32386,0
32441,0
32448,0
32449,0
32501,1
32505,0
32525,0
32526,0
32527,0
32528,0
33100,4
33202,4
33203,2
33204,2
33205,1
33207,0
33208,2
33209,1
33210,2
33211,1
33212,3
33213,1
33214,2
33215,0
33216,1
33346,1
33423,1
33445,1
33461,0
33586,0
33606,0
33622,0
33623,0
33643,0
33663,1
33666,1
33681,0
34100,3
34202,0
34203,1
34204,2
34205,3
34207,2
34208,0
34209,2
34210,2
34211,1
34212,1
34213,4
34214,1
34215,0
34302,1
34304,1
